,Player,Year,Tm,Age,Pos,G,GS,rating_adj_1,df_id,pro_bowl,first_all_pro
120,Pellom McDaniels,1999.0,ATL,31,DE,16.0,0.0,20.971929301772455,DL,0,0
121,Sean Moran,1999.0,BUF,26,DT,16.0,0.0,2.3927828729399723,DL,0,0
122,Brandon Noble,1999.0,DAL,25,DT,16.0,0.0,26.577246466514428,DL,0,0
123,Chuck Osborne,1999.0,OAK,26,DT,16.0,0.0,11.197647412491522,DL,0,0
124,Ty Parten,1999.0,KAN,30,DT,16.0,0.0,9.55809493409246,DL,0,0
125,Mike Rucker,1999.0,CAR,24,DE,16.0,0.0,53.476857308048864,DL,0,0
126,Clyde Simmons,1999.0,CHI,35,DE,16.0,0.0,65.99901778118418,DL,0,0
127,Chris Sullivan,1999.0,NWE,26,DE,16.0,0.0,40.950299361198525,DL,0,0
128,Keith Washington,1999.0,BAL,27,DE,16.0,0.0,17.27979705301621,DL,0,0
129,George Williams,1999.0,NYG,24,DT,16.0,0.0,9.55809493409246,DL,0,0
130,Jay Williams,1999.0,STL,28,DE,16.0,0.0,19.856802238388624,DL,0,0
131,Pat Williams,1999.0,BUF,27,DT,16.0,0.0,51.13949012448044,DL,0,0
132,Jeff Zgonina,1999.0,STL,29,DT,16.0,0.0,35.32409877935376,DL,0,0
133,Lester Archambeau,1999.0,ATL,32,LDE,15.0,15.0,69.32511114114867,DL,0,0
134,Albert Fontenot,1999.0,SDG,29,LDE,15.0,15.0,46.598953591357876,DL,0,0
135,Trevor Pryce,1999.0,DEN,24,RDT,15.0,15.0,146.36328748965218,DL,0,0
136,Warren Sapp,1999.0,TAM,27,RDT,15.0,15.0,143.21341516725633,DL,0,0
137,Michael Sinclair,1999.0,SEA,31,LDE,15.0,15.0,84.6359187313282,DL,0,0
138,Jason Taylor,1999.0,MIA,25,RDE,15.0,15.0,98.4974640964896,DL,0,0
139,Keith Traylor,1999.0,DEN,30,LDT,15.0,15.0,88.46162628629655,DL,0,0
140,Bernard Whittington,1999.0,IND,28,LDT/LDE,15.0,15.0,26.046148807641455,DL,0,0
141,Luther Elliss,1999.0,DET,26,RDT,15.0,14.0,118.5993129199713,DL,0,0
142,Robert Porcher,1999.0,DET,30,LDE,15.0,14.0,149.98485991946325,DL,0,0
143,Rashod Swinger,1999.0,ARI,25,LDT,15.0,14.0,45.198359508366885,DL,0,0
144,Darius Holland,1999.0,CLE,26,LDT,15.0,11.0,88.03958274544605,DL,0,0
145,Neil Smith,1999.0,DEN,33,LDE,15.0,8.0,54.64552305253979,DL,0,0
146,Travis Kirschke,1999.0,DET,25,RDE,15.0,7.0,9.043249989851223,DL,0,0
147,Joel Smeenge,1999.0,JAX,31,LDE,15.0,7.0,62.21279016448416,DL,0,0
148,Mark Thomas,1999.0,IND,30,DE,15.0,2.0,85.23683729189382,DL,0,0
149,Lorenzo Bromell,1999.0,MIA,24,DE,15.0,1.0,44.46246608405334,DL,0,0
150,Shawn Price,1999.0,BUF,29,DE,15.0,1.0,28.40619242045932,DL,0,0
151,Shane Burton,1999.0,CHI,25,DT,15.0,0.0,44.67391027015446,DL,0,0
152,Grady Jackson,1999.0,OAK,26,DT,15.0,0.0,101.15468483070788,DL,0,0
153,Fernando Smith,1999.0,BAL,28,DE,15.0,0.0,34.47860900712251,DL,0,0
154,Larry Smith,1999.0,JAX,25,DT,15.0,0.0,36.90757564178778,DL,0,0
155,Vaughn Booker,1999.0,GNB,31,LDE,14.0,14.0,95.40267063335833,DL,0,0
156,Norman Hand,1999.0,SDG,27,LDT,14.0,14.0,99.30917757267164,DL,0,0
157,Phil Hansen,1999.0,BUF,31,LDE,14.0,14.0,105.74652567144538,DL,0,0
158,Tony Siragusa,1999.0,BAL,32,RDT,14.0,14.0,71.92269959641997,DL,0,0
159,Joel Steed,1999.0,PIT,30,NT,14.0,14.0,33.55994330252579,DL,0,0
160,Chris Doleman,1999.0,MIN,38,RDE,14.0,12.0,139.248643723275,DL,0,0
161,Tracy Scroggins,1999.0,DET,30,RDE,14.0,11.0,133.60915601322924,DL,0,0
162,Stalin Colinet,1999.0,2TM,25,RDT,14.0,10.0,2.290168541255831,DL,0,0
163,Stalin Colinet,1999.0,MIN,25,DT,3.0,1.0,9.230073211728044,DL,0,0
164,Stalin Colinet,1999.0,CLE,25,RDT,11.0,9.0,0.3974672674906816,DL,0,0
165,Dan Williams,1999.0,KAN,30,RDE,14.0,9.0,70.02082242703095,DL,0,0
166,Antonio Edwards,1999.0,CAR,29,LDE,14.0,7.0,22.549441253142007,DL,0,0
167,Kenny Holmes,1999.0,TEN,26,RDE,14.0,7.0,62.87158382951989,DL,0,0
168,Ernie Logan,1999.0,NYJ,31,NT,14.0,7.0,48.17389012246244,DL,0,0
169,Brad Ottis,1999.0,ARI,27,LDE,14.0,7.0,48.4874024465632,DL,0,0
170,Austin Robbins,1999.0,NOR,28,DT,14.0,3.0,33.69073508835104,DL,0,0
171,Ferric Collons,1999.0,NWE,30,DE,14.0,0.0,26.353053761420046,DL,0,0
172,Lamar King,1999.0,SEA,24,DE,14.0,0.0,12.700025546964147,DL,0,0
173,Anthony McFarland,1999.0,TAM,22,DT,14.0,0.0,10.097561295537073,DL,0,0
174,Eric Ogbogu,1999.0,NYJ,24,DE,14.0,0.0,29.469198074673034,DL,0,0
175,Sam Adams,1999.0,SEA,26,LDT,13.0,13.0,63.04832526715182,DL,0,0
176,Greg Ellis,1999.0,DAL,24,RDE,13.0,13.0,142.9860579257435,DL,0,0
177,Steve White,1999.0,TAM,26,RDE,13.0,13.0,33.94365541372474,DL,0,0
178,Hurvin McCormack,1999.0,CLE,27,DT,13.0,4.0,37.5487452183905,DL,0,0
179,Roy Barker,1999.0,2TM,30,DE,13.0,3.0,64.84216106748558,DL,0,0
180,Roy Barker,1999.0,CLE,30,DE,12.0,3.0,31.682118075976344,DL,0,0
181,Roy Barker,1999.0,GNB,30,DE,1.0,0.0,35.82134130209189,DL,0,0
182,Mike Lodish,1999.0,DEN,32,DT,13.0,2.0,3.207965367503489,DL,0,0
183,Brandon Whiting,1999.0,PHI,23,DE,13.0,2.0,14.971774517155747,DL,0,0
184,Mike Frederick,1999.0,TEN,27,DE,13.0,0.0,0.0,DL,0,0
185,Ed Jasper,1999.0,ATL,26,DT,13.0,0.0,38.90226726414791,DL,0,0
186,Emarlos Leroy,1999.0,JAX,24,DT,13.0,0.0,0.0,DL,0,0
187,Mark Wheeler,1999.0,PHI,29,DT,13.0,0.0,19.24953178414419,DL,0,0
188,Peppi Zellner,1999.0,DAL,24,DE,13.0,0.0,14.454356806512253,DL,0,0
189,Santana Dotson,1999.0,GNB,30,RDT,12.0,12.0,95.6656046739063,DL,0,0
190,Renaldo Wynn,1999.0,JAX,25,LDE,12.0,10.0,29.172903250334763,DL,0,0
191,Henry Ford,1999.0,TEN,28,RDE,12.0,9.0,86.0471864270691,DL,0,0
192,Jevon Langford,1999.0,CIN,25,RDE,12.0,7.0,44.06862709255146,DL,0,0
193,Jason Wiltz,1999.0,NYJ,23,DT,12.0,1.0,28.64590978264475,DL,0,0
